 tbar , vbar(tbar)
   0.00000000     ,   4.00000000    
  0.100000001     ,   3.61683345    
  0.200000003     ,   3.26853561    
  0.300000012     ,   2.95190835    
  0.400000006     ,   2.66409779    
  0.500000000     ,   2.40255380    
  0.600000024     ,   2.16499233    
  0.700000048     ,   1.94935989    
  0.800000072     ,   1.75380325    
  0.900000095     ,   1.57663989    
   1.00000012     ,   1.41633403    
   1.10000014     ,   1.27147603    
   1.20000017     ,   1.14076436    
   1.30000019     ,   1.02299249    
   1.40000021     ,  0.917037427    
   1.50000024     ,  0.821852088    
   1.60000026     ,  0.736459255    
   1.70000029     ,  0.659947395    
   1.80000031     ,  0.591467917    
   1.90000033     ,  0.530232966    
   2.00000024     ,  0.475513905    
   2.10000014     ,  0.426640004    
   2.20000005     ,  0.382996738    
   2.29999995     ,  0.344023973    
   2.39999986     ,  0.309213936    
   2.49999976     ,  0.278108597    
   2.59999967     ,  0.250296801    
   2.69999957     ,  0.225411177    
   2.79999948     ,  0.203124732    
   2.89999938     ,  0.183147416    
   2.99999928     ,  0.165222615    
   3.09999919     ,  0.149123788    
   3.19999909     ,  0.134651139    
   3.29999900     ,  0.121628620    
   3.39999890     ,  0.109901056    
   3.49999881     ,   9.93315578E-02
   3.59999871     ,   8.97992402E-02
   3.69999862     ,   8.11971575E-02
   3.79999852     ,   7.34305084E-02
   3.89999843     ,   6.64150715E-02
   3.99999833     ,   6.00758642E-02
   4.09999847     ,   5.43459803E-02
   4.19999838     ,   4.91655879E-02
   4.29999828     ,   4.44810763E-02
   4.39999819     ,   4.02443260E-02
   4.49999809     ,   3.64120826E-02
   4.59999800     ,   3.29454094E-02
   4.69999790     ,   2.98092123E-02
   4.79999781     ,   2.69718431E-02
   4.89999771     ,   2.44047269E-02
   4.99999762     ,   2.20820587E-02
