 tbar , vbar(tbar)
   0.00000000     ,   0.00000000    
  0.100000001     ,  0.282971591    
  0.200000003     ,  0.537420392    
  0.300000012     ,  0.766180873    
  0.400000006     ,  0.971857548    
  0.500000000     ,   1.15683925    
  0.600000024     ,   1.32331073    
  0.700000048     ,   1.47326267    
  0.800000072     ,   1.60850036    
  0.900000095     ,   1.73065221    
   1.00000012     ,   1.84117794    
   1.10000014     ,   1.94137836    
   1.20000017     ,   2.03240490    
   1.30000019     ,   2.11526990    
   1.40000021     ,   2.19085860    
   1.50000024     ,   2.25994086    
   1.60000026     ,   2.32318354    
   1.70000029     ,   2.38116264    
   1.80000031     ,   2.43437552    
   1.90000033     ,   2.48325253    
   2.00000024     ,   2.52816677    
   2.10000014     ,   2.56944489    
   2.20000005     ,   2.60737443    
   2.29999995     ,   2.64221191    
   2.39999986     ,   2.67418814    
   2.49999976     ,   2.70351362    
   2.59999967     ,   2.73038173    
   2.69999957     ,   2.75497270    
   2.79999948     ,   2.77745438    
   2.89999938     ,   2.79798484    
   2.99999928     ,   2.81671309    
   3.09999919     ,   2.83377934    
   3.19999909     ,   2.84931564    
   3.29999900     ,   2.86344624    
   3.39999890     ,   2.87628794    
   3.49999881     ,   2.88794971    
   3.59999871     ,   2.89853311    
   3.69999862     ,   2.90813255    
   3.79999852     ,   2.91683507    
   3.89999843     ,   2.92472172    
   3.99999833     ,   2.93186641    
   4.09999847     ,   2.93833733    
   4.19999838     ,   2.94419670    
   4.29999828     ,   2.94950128    
   4.39999819     ,   2.95430303    
   4.49999809     ,   2.95864940    
   4.59999800     ,   2.96258283    
   4.69999790     ,   2.96614265    
   4.79999781     ,   2.96936393    
   4.89999771     ,   2.97227883    
   4.99999762     ,   2.97491670    
